13.050,3.100,-0.244,-3.610
13.100,3.082,-0.488,-3.620
13.150,3.044,-0.731,-3.630
13.200,2.986,-0.970,-3.640
13.250,2.910,-1.205,-3.650
13.300,2.816,-1.435,-3.660
13.350,2.703,-1.656,-3.670
13.400,2.573,-1.869,-3.680
13.450,2.426,-2.072,-3.690
13.500,2.263,-2.263,-3.700
13.550,2.085,-2.441,-3.710
13.600,1.893,-2.605,-3.720
13.650,1.688,-2.754,-3.730
13.700,1.471,-2.887,-3.740
13.750,1.244,-3.003,-3.750
13.800,1.007,-3.100,-3.760
13.850,0.763,-3.180,-3.770
13.900,0.513,-3.240,-3.780
13.950,0.258,-3.280,-3.790
14.000,-0.000,-3.300,-3.800
14.050,-0.260,-3.300,-3.810
14.100,-0.519,-3.279,-3.820
14.150,-0.777,-3.238,-3.830
14.200,-1.032,-3.177,-3.840
14.250,-1.282,-3.095,-3.850
14.300,-1.525,-2.994,-3.860
14.350,-1.761,-2.873,-3.870
14.400,-1.987,-2.734,-3.880
14.450,-2.202,-2.578,-3.890
14.500,-2.404,-2.404,-3.900
14.550,-2.593,-2.215,-3.910
14.600,-2.767,-2.010,-3.920
14.650,-2.925,-1.792,-3.930
14.700,-3.065,-1.562,-3.940
14.750,-3.187,-1.320,-3.950
14.800,-3.291,-1.069,-3.960
14.850,-3.374,-0.810,-3.970
14.900,-3.437,-0.544,-3.980
14.950,-3.479,-0.274,-3.990
15.000,-3.500,0.000,-4.000
15.050,-3.499,0.275,-4.010
15.100,-3.477,0.551,-4.020
15.150,-3.432,0.824,-4.030
15.200,-3.367,1.094,-4.040
15.250,-3.280,1.359,-4.050
15.300,-3.172,1.616,-4.060
15.350,-3.044,1.865,-4.070
15.400,-2.896,2.104,-4.080
15.450,-2.730,2.332,-4.090
15.500,-2.546,2.546,-4.100
15.550,-2.345,2.745,-4.110
15.600,-2.128,2.929,-4.120
15.650,-1.897,3.095,-4.130
15.700,-1.653,3.243,-4.140
15.750,-1.397,3.372,-4.150
15.800,-1.131,3.481,-4.160
15.850,-0.857,3.569,-4.170
15.900,-0.576,3.635,-4.180
15.950,-0.290,3.679,-4.190
16.000,0.000,3.700,-4.200
16.050,0.291,3.699,-4.210
16.100,0.582,3.674,-4.220
16.150,0.871,3.627,-4.230
16.200,1.156,3.557,-4.240
16.250,1.435,3.465,-4.250
16.300,1.707,3.350,-4.260
16.350,1.970,3.214,-4.270
16.400,2.222,3.058,-4.280
16.450,2.461,2.882,-4.290
16.500,2.687,2.687,-4.300
16.550,2.897,2.474,-4.310
16.600,3.090,2.245,-4.320
16.650,3.266,2.001,-4.330
16.700,3.421,1.743,-4.340
16.750,3.557,1.473,-4.350
16.800,3.671,1.193,-4.360
16.850,3.763,0.903,-4.370
16.900,3.832,0.607,-4.380
16.950,3.878,0.305,-4.390
17.000,3.900,-0.000,-4.400
17.050,3.898,-0.307,-4.410
17.100,3.872,-0.613,-4.420
17.150,3.821,-0.917,-4.430
17.200,3.747,-1.218,-4.440
17.250,3.649,-1.512,-4.450
17.300,3.528,-1.798,-4.460
17.350,3.385,-2.074,-4.470
17.400,3.220,-2.339,-4.480
17.450,3.034,-2.591,-4.490
17.500,2.828,-2.828,-4.500
17.550,2.604,-3.049,-4.510
17.600,2.363,-3.252,-4.520
17.650,2.106,-3.436,-4.530
17.700,1.834,-3.600,-4.540
17.750,1.550,-3.742,-4.550
17.800,1.255,-3.861,-4.560
17.850,0.950,-3.958,-4.570
17.900,0.638,-4.030,-4.580
17.950,0.321,-4.077,-4.590
